height velocity(m/s) Temperature(K)
215.0 10.7873860262 293.0
215.5 10.7897754539 293.0
216.0 10.7921593443 293.0
216.5 10.7945377229 293.0
217.0 10.7969106152 293.0
217.5 10.7992780465 293.0
218.0 10.8016400417 293.0
218.5 10.803996626 293.0
219.0 10.8063478238 293.0
219.5 10.8086936599 293.0
220.0 10.8110341587 293.0
220.5 10.8133693443 293.0
221.0 10.8156992408 293.0
221.5 10.8180238722 293.0
222.0 10.8203432621 293.0
222.5 10.8226574342 293.0
223.0 10.8249664119 293.0
223.5 10.8272702184 293.0
224.0 10.8295688769 293.0
224.5 10.8318624104 293.0
225.0 10.8341508415 293.0
225.5 10.836434193 293.0
226.0 10.8387124874 293.0
226.5 10.840985747 293.0
227.0 10.8432539941 293.0
227.5 10.8455172506 293.0
228.0 10.8477755385 293.0
228.5 10.8500288796 293.0
229.0 10.8522772955 293.0
229.5 10.8545208076 293.0
230.0 10.8567594374 293.0
230.5 10.858993206 293.0
231.0 10.8612221345 293.0
231.5 10.8634462438 293.0
232.0 10.8656655547 293.0
232.5 10.8678800878 293.0
233.0 10.8700898638 293.0
233.5 10.872294903 293.0
234.0 10.8744952256 293.0
234.5 10.8766908518 293.0
235.0 10.8788818016 293.0
235.5 10.8810680949 293.0
236.0 10.8832497514 293.0
236.5 10.8854267908 293.0
237.0 10.8875992325 293.0
237.5 10.8897670959 293.0
238.0 10.8919304003 293.0
238.5 10.8940891649 293.0
239.0 10.8962434086 293.0
239.5 10.8983931503 293.0
240.0 10.9005384088 293.0
240.5 10.9026792028 293.0
241.0 10.9048155508 293.0
241.5 10.9069474713 293.0
242.0 10.9090749825 293.0
242.5 10.9111981027 293.0
243.0 10.9133168499 293.0
243.5 10.9154312422 293.0
244.0 10.9175412973 293.0
244.5 10.9196470331 293.0
245.0 10.9217484671 293.0
245.5 10.923845617 293.0
246.0 10.9259385002 293.0
246.5 10.928027134 293.0
247.0 10.9301115355 293.0
247.5 10.932191722 293.0
248.0 10.9342677105 293.0
248.5 10.9363395178 293.0
249.0 10.9384071607 293.0
249.5 10.940470656 293.0
250.0 10.9425300203 293.0
250.5 10.9445852701 293.0
251.0 10.9466364218 293.0
251.5 10.9486834917 293.0
252.0 10.950726496 293.0
252.5 10.9527654508 293.0
253.0 10.9548003721 293.0
253.5 10.956831276 293.0
254.0 10.9588581782 293.0
254.5 10.9608810944 293.0
255.0 10.9629000403 293.0
255.5 10.9649150314 293.0
256.0 10.9669260833 293.0
256.5 10.9689332113 293.0
257.0 10.9709364306 293.0
257.5 10.9729357565 293.0
258.0 10.974931204 293.0
258.5 10.9769227883 293.0
259.0 10.9789105241 293.0
259.5 10.9808944264 293.0
260.0 10.9828745099 293.0
260.5 10.9848507894 293.0
261.0 10.9868232793 293.0
261.5 10.9887919941 293.0
262.0 10.9907569484 293.0
262.5 10.9927181565 293.0
263.0 10.9946756325 293.0
263.5 10.9966293907 293.0
264.0 10.9985794452 293.0
264.5 11.00052581 293.0
265.0 11.002468499 293.0
265.5 11.0044075261 293.0
266.0 11.006342905 293.0
266.5 11.0082746496 293.0
267.0 11.0102027733 293.0
267.5 11.0121272897 293.0
268.0 11.0140482124 293.0
268.5 11.0159655546 293.0
269.0 11.0178793298 293.0
269.5 11.0197895512 293.0
270.0 11.0216962319 293.0
